country,country_code,world_bank_region,income_group,gdp_per_capita_usd_2010,gdp_per_capita_usd_2011,population_2010,population_2011
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,8793.07589980782,11287.1464926039,16836810.0,17066002.0
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1091.51873101194,1096.14499807675,41598567.0,42758461.0
Kiribati,KIR,East Asia & Pacific,Lower middle income,1522.10068744154,1771.12926848792,108704.0,110647.0
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,,,24987258.0,25097874.0
"Korea, Rep.",KOR,East Asia & Pacific,High income,24071.2620526362,26175.2398553363,49554112.0,49936638.0
Kosovo,XKX,Europe & Central Asia,Upper middle income,2987.54523493128,3538.94809762524,1788743.0,1791949.0
Kuwait,KWT,Middle East & North Africa,High income,39212.252220155,49169.6063813095,2943372.0,3132814.0
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,876.954476440354,1117.40174350185,5467059.0,5546587.0
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1125.91610151261,1361.54704394913,6334194.0,6426590.0
Latvia,LVA,Europe & Central Asia,High income,11188.4191700977,12902.574053337,2097555.0,2059709.0
Lebanon,LBN,Middle East & North Africa,Lower middle income,7625.81051551165,7834.96257108993,5041288.0,5096020.0
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1119.47557793042,1280.73390931581,1996251.0,2014009.0
Liberia,LBR,Sub-Saharan Africa,Low income,492.252808033724,568.087865520004,4058890.0,4221178.0
Libya,LBY,Middle East & North Africa,Upper middle income,11600.9068649472,7593.8391525702,6497839.0,6343203.0
Liechtenstein,LIE,Europe & Central Asia,High income,141089.812849014,158066.369379163,36022.0,36312.0
Lithuania,LTU,Europe & Central Asia,High income,11829.122609457,14261.8433787325,3097282.0,3028115.0
Luxembourg,LUX,Europe & Central Asia,High income,110885.991378721,119025.057203467,506953.0,518347.0
"Macao SAR, China",MAC,East Asia & Pacific,High income,52596.2250160214,67046.7284292101,537000.0,549600.0
Madagascar,MDG,Sub-Saharan Africa,Low income,450.009391645726,506.163691559309,22183340.0,22822300.0
Malawi,MWI,Sub-Saharan Africa,Low income,683.124694716799,763.061000394572,14826463.0,15265022.0
Malaysia,MYS,East Asia & Pacific,Upper middle income,8899.34505544675,10217.1068585031,28655776.0,29162039.0
Maldives,MDV,South Asia,Upper middle income,7173.59601844692,7424.520410971,360792.0,373674.0
Mali,MLI,Sub-Saharan Africa,Low income,797.151541141189,938.292902579598,15945198.0,16469049.0
Malta,MLT,Middle East & North Africa,High income,21946.6073066905,23516.972445816,414508.0,416268.0
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,3095.45768964722,3319.39815439151,52044.0,51907.0
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1659.96369705455,1931.19975525465,3390965.0,3502811.0
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,8113.17670740212,9324.24232310496,1250400.0,1252404.0
Mexico,MEX,Latin America & Caribbean,Upper middle income,9728.80078307432,10664.4944032313,113623895.0,115243504.0
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Upper middle income,2715.26873721406,2859.8488365615,107540.0,107698.0
Moldova,MDA,Europe & Central Asia,Upper middle income,2436.79935102421,2941.36224066021,2862354.0,2860699.0
Monaco,MCO,Europe & Central Asia,High income,161853.922745228,179364.009524397,33163.0,33946.0
Mongolia,MNG,East Asia & Pacific,Upper middle income,2625.21881402433,3736.04201455077,2738622.0,2786317.0
Montenegro,MNE,Europe & Central Asia,Upper middle income,6678.63939560908,7265.51771176628,619428.0,620345.0
Morocco,MAR,Middle East & North Africa,Lower middle income,3067.9853515625,3301.98876953125,32467016.0,32912588.0
Mozambique,MOZ,Sub-Saharan Africa,Low income,496.185839392659,618.17649286789,22999235.0,23649039.0
Myanmar,MMR,East Asia & Pacific,Lower middle income,1010.53417343401,1213.62898703376,49024382.0,49419820.0
Namibia,NAM,Sub-Saharan Africa,Lower middle income,5418.21633365814,5834.7917675794,2109811.0,2146325.0
Naoero,NRU,East Asia & Pacific,High income,4735.92000502092,6444.03642094634,10043.0,10098.0
Nepal,NPL,South Asia,Lower middle income,585.278491984574,785.518656222132,27341952.0,27464494.0
